id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,license,instant_bookable
670339032744709144,Westwood lovely three bedrooms three bathrooms,4780152,Moon,20/01/13,within a few hours,0.96,f,West Los Angeles,City of Los Angeles,34.04966,-118.43555,Entire condo,Entire home/apt,6,3,3,3,399,30,365,0,,,f
37014494,Spanish style lower duplex near Beverly Hills,278288178,Ida,22/07/19,N/A,N/A,f,Beverlywood,City of Los Angeles,34.04841,-118.38751,Entire rental unit,Entire home/apt,2,,2,,,30,0,0,,,f
1024835174766068422,Charming Beverly Hills Home,513813179,Tiana,08/05/23,within a day,0.6,f,Beverly Hills,Other Cities,34.07058324822541,-118.3907421,Entire home,Entire home/apt,6,3,3,3,434,30,267,0,,,f
850744632375448560,Tianpu's warm room with bathroom,432956623,Dan,22/11/21,a few days or more,0.2,f,Temple City,Other Cities,34.10932862747781,-118.0730982,Private room in home,Private room,2,1,1,1,49,1,364,1,3,,f
953950676345326970,"Santa Monica apt, free parking, steps to the beach",528669205,Farkhat,29/07/23,within an hour,1,t,Santa Monica,Other Cities,34.01559,-118.49408,Entire rental unit,Entire home/apt,2,1,0,1,231,5,193,44,4.93,Exempt,t
1082614257267236225,Practical Private Room #1398 A,557999481,Christos,22/01/24,within a day,1,f,North Hollywood,City of Los Angeles,34.17399,-118.36184,Private room in rental unit,Private room,1,0,4,1,62,30,278,0,,,f
5694422,2 Bedroom Modern Oasis,4151836,Sara,14/11/12,within a few hours,1,f,Del Rey,City of Los Angeles,33.99017,-118.42252,Entire home,Entire home/apt,7,1,2,5,110,30,117,368,4.61,HSR19-004352,f
873326033487284509,Luxury Waterfront Retreat | Rooftop View,510853557,Tig,19/04/23,within an hour,1,t,Venice,City of Los Angeles,33.98257681,-118.4642661,Entire home,Entire home/apt,6,3.5,4,4,1179,2,356,35,4.97,HSR23-000668,f
908697518167341476,"Modern, Resort-Style Home in West Hollywood",409985549,Bona Bona,29/06/21,within an hour,1,t,Beverly Grove,City of Los Angeles,34.08817137626551,-118.3655211,Entire home,Entire home/apt,8,4.5,4,4,1244,3,141,10,5,HSR24-001623,f
1158417037056953812,Lovely High Rise in Ktown,485962662,Max,01/11/22,a few days or more,0.3,f,Westlake,City of Los Angeles,34.05396572738001,-118.2651881,Entire rental unit,Entire home/apt,2,1,1,1,250,30,269,0,,,f
53405110,Downtown Loft,416339920,Shaina,01/08/21,N/A,N/A,f,Downtown,City of Los Angeles,34.04678,-118.25007,Private room in bed and breakfast,Private room,2,1.5,1,1,200,30,364,0,,,f
1099417246276636063,"Weho 2 bdrm townhouse, Prime location, w/ parking",245392128,Sabrina,25/02/19,within an hour,1,t,West Hollywood,Other Cities,34.09129807541799,-118.3518771,Entire townhouse,Entire home/apt,5,1,2,3,213,2,244,23,4.74,Exempt,t
51330855,Lovely 2-bedroom Apt by Beverly and the Grove,415509559,Marc,27/07/21,within an hour,1,t,Fairfax,City of Los Angeles,34.07706,-118.35588,Entire rental unit,Entire home/apt,4,1,2,3,95,30,38,2,4.5,,f
15852759,"Enchanting Venice Bungalow Oasis, 1 Blk From Beach",81010572,Jeremy,30/06/16,within a few hours,1,f,Venice,City of Los Angeles,33.9911,-118.47604,Entire home,Entire home/apt,3,1,1,1,298,3,244,59,4.95,HSR21-002450,f
23685498,Good start,177390584,Xiaoting,08/03/18,N/A,N/A,f,San Gabriel,Other Cities,34.10142,-118.09294,Shared room in guesthouse,Shared room,1,,,,,1,0,0,,,f
45862372,1BR Culver City Apt by Just Bring Your Toothbrush!,13992754,Just Bring Your Toothbrush,07/04/14,within an hour,1,f,Culver City,Other Cities,34.01527317540712,-118.3993675,Entire rental unit,Entire home/apt,2,1,1,1,110,4,356,285,4.64,,f
1211025880050828732,Modern Hollywood Hills house,68445028,John,22/04/16,within an hour,1,t,Beverly Hills,Other Cities,34.06514,-118.37582,Entire rental unit,Entire home/apt,2,1,1,1,319,1,365,0,,,t
989090689731403308,"Beverly Hills Oasis 2 BR Apt, Parking, Pool Access",502356811,Luxe,22/02/23,within an hour,1,,Beverly Hills,Other Cities,34.07282,-118.39427,Entire rental unit,Entire home/apt,6,2,2,3,282,2,313,49,4.61,,f
1099697666994383724,Chic Apartment in the Heart of Beverly Hills #8,367097591,Aura,11/09/20,within an hour,1,f,Beverly Hills,Other Cities,34.06482,-118.39497,Entire rental unit,Entire home/apt,2,1,1,1,153,2,259,6,4.83,,t
768075821405977191,Peaceful Queen Bed Unit,489014630,Ian,24/11/22,within an hour,1,f,Beverly Hills,Other Cities,34.06043,-118.38496,Entire rental unit,Entire home/apt,2,1,1,1,150,1,365,0,,,t
1058741338219361909,Canal Dreams: Venice Beach Luxury a Block to Beach,2344764,Kevin,11/05/12,within an hour,1,t,Venice,City of Los Angeles,33.98445501208396,-118.4674772,Entire home,Entire home/apt,6,4.5,3,3,1080,30,80,0,,,f
51254530,Clean Fresh Cozy Private Room in West Hollywood,61324086,L.A.,02/03/16,within a few hours,1,t,West Hollywood,Other Cities,34.09236,-118.36394,Private room in rental unit,Private room,2,1.5,1,2,145,2,265,23,5,Exempt,f
6002187,Work from Home ON the Venice Beach Canals!,6726465,Linda,03/06/13,within an hour,1,t,Venice,City of Los Angeles,33.98275,-118.46626,Entire rental unit,Entire home/apt,2,1,2,2,147,30,75,64,4.81,,f
682771430545728945,Couch in living room,471868288,Jonathan,27/07/22,N/A,N/A,f,Downtown,City of Los Angeles,34.04278,-118.2596,Shared room in serviced apartment,Shared room,1,1,1,1,77,30,365,0,,,f
1197764476076832919,Cozy room by the grove!,571198812,Arya,08/04/24,within a few hours,0.82,f,Mid-Wilshire,City of Los Angeles,34.06555916875489,-118.3521585,Shared room in rental unit,Shared room,1,1,,1,31,30,244,0,,,f
1039777404032438158,"Blueground | NoHo, walk to restaurants & art",107434423,Blueground,16/12/16,within an hour,1,f,Toluca Lake,City of Los Angeles,34.1492625,-118.3645604,Entire townhouse,Entire home/apt,6,3.5,3,3,250,31,156,0,,,f
699277077366965494,Charming Walk Street Hideaway by Open Air Homes,9075429,Open Air,26/09/13,within an hour,1,t,Venice,City of Los Angeles,33.99278,-118.45945,Entire home,Entire home/apt,4,1,2,2,396,3,314,44,4.84,HSR22-002132,f
1219780709774189582,Bunk bed in Santa Monica 3,543905875,Magdalena,29/10/23,within an hour,1,t,Santa Monica,Other Cities,34.02535039402483,-118.4870638,Shared room in home,Shared room,4,1,1,6,30,30,356,2,2.5,810120,f
16229584,Historical Landmark Queen-Ann Bungalow,31866288,Hilary,24/04/15,within an hour,1,,Long Beach,Other Cities,33.76831,-118.17652,Entire bungalow,Entire home/apt,5,1,2,2,191,2,251,226,4.82,NRP21-00270,f
1188675477808245039,Hollywood 1Bed Apt w Rooftop pool & Panoramic View,549033440,Roman,01/12/23,within an hour,1,f,Hollywood,City of Los Angeles,34.10239,-118.32514,Entire rental unit,Entire home/apt,5,1,1,4,170,2,253,2,4.5,Exempt - This listing is a transient occupancy residential structure,t
1170483662809370027,Beachy Garden Guesthouse,25264978,Duncan,27/12/14,within an hour,1,f,Santa Monica,Other Cities,34.01989,-118.48552,Entire guesthouse,Entire home/apt,4,2,2,2,280,3,202,9,5,Exempt,f
53633927,Venice Flower Cottage: Ideal WFH + dry sauna,265269171,Tori,30/05/19,within an hour,1,t,Venice,City of Los Angeles,33.99934,-118.46961,Entire cottage,Entire home/apt,4,1,2,2,220,30,58,7,5,,t
1124112027482881864,Cute Bedroom For Rent,50473564,Elena,03/12/15,within an hour,1,t,Hollywood,City of Los Angeles,34.094760358287424,-118.3476744,Private room in rental unit,Private room,2,1,1,1,91,1,152,28,4.82,Exempt,t
42204968,Studio Hollywood | View of Hills | Month to Month,72906523,Evan,19/05/16,within a day,0.88,t,Hollywood,City of Los Angeles,34.0923,-118.32936,Entire rental unit,Entire home/apt,1,4,1,1,47,30,92,17,4.88,,f
1227065782223053469,Charming 1B in KTown,510471191,Raven,17/04/23,within a few hours,0.95,f,Koreatown,City of Los Angeles,34.05457,-118.29842,Entire rental unit,Entire home/apt,3,1,1,1,89,30,88,0,,,f
